,name,Text,processedText,CEFR Labels
35,Obesity,"Obesity is a medical condition in which excess body fat has accumulated to the extent that it may have an adverse effect on health, leading to reduced life expectancy and/or increased health problems. Body mass index (BMI), a measurement which compares weight and height, defines people as overweight (pre-obese) when their BMI is between 25 kg/m2 and 30 kg/m2, and obese when it is greater than 30 kg/m2.
Obesity increases the likelihood of various diseases, particularly heart disease, type 2 diabetes, breathing difficulties during sleep, certain types of cancer, and osteoarthritis. Obesity is most commonly caused by a combination of excessive dietary calories, lack of physical activity, and genetic susceptibility, although a few cases are caused primarily by genes, endocrine disorders, medications or psychiatric illness. Evidence to support the view that some obese people eat little yet gain weight due to a slow metabolism is limited; on average obese people have a greater energy expenditure than their thin counterparts due to the energy required to maintain an increased body mass.
The primary treatment for obesity is dieting and physical exercise. To supplement this, or in case of failure, anti-obesity drugs may be taken to reduce appetite or inhibit fat absorption. In severe cases, surgery is performed or an intragastric balloon is placed to reduce stomach volume and/or bowel length, leading to earlier satiation and reduced ability to absorb nutrients from food.
Obesity is a leading preventable cause of death worldwide, with increasing prevalence in adults and children, and authorities view it as one of the most serious public health problems of the 21st century. Obesity is stigmatized in much of the modern world (particularly in the Western world), though it was widely perceived as a symbol of wealth and fertility at other times in history, and still is in some parts of the world.",obes medic condit excess bodi fat accumul extent may advers effect health lead reduc life expect increas health problem bodi mass index bmi measur compar weight height defin peopl overweight bmi obes greater obes increas likelihood variou diseas particularli heart diseas type diabet breath difficulti sleep certain type cancer osteoarthr obes commonli caus combin excess dietari calori lack physic activ genet suscept although case caus primarili gene endocrin disord medic psychiatr ill evid support view obes peopl eat littl yet gain weight due slow metabol limit averag obes peopl greater energi expenditur thin counterpart due energi requir maintain increas bodi mass primari treatment obes diet physic exercis supplement case failur drug may taken reduc appetit inhibit fat absorpt sever case surgeri perform intragastr balloon place reduc stomach volum bowel length lead earlier satiat reduc abil absorb nutrient food obes lead prevent caus death worldwid increas preval adult child author view one seriou public health problem centuri obes stigmat much modern world particularli western world though wide perceiv symbol wealth fertil time histori still part world,C1
36,Great depression,"The Great Depression was a severe worldwide economic depression in the decade preceding World War II. In most countries the depression started in about 1929 and lasted until the late 1930s or early 1940s. It was the longest, most widespread, and deepest depression of the 20th century. In the 21st century, the Great Depression is commonly used as an example of how far the world's economy can decline.
The depression originated in the U.S. Economic historians usually attribute the start of the Great Depression to the sudden devastating collapse of US stock market prices on October 29, 1929, known as Black Tuesday; some dispute this conclusion, and see the stock crash as a symptom, rather than a cause, of the Great Depression
There were multiple causes for the first downturn in 1929 but the real causes are still unclear. Historians emphasize structural factors like major bank failures and the stock market crash. In contrast, some economists point to monetary factors such as actions by the US Federal Reserve that contracted the money supply, as well as Britain's decision to return to the Gold Standard at pre–World War I parities.
The Great Depression had devastating effects in virtually every country, rich and poor. Personal income, tax revenue, profits and prices dropped, while international trade plunged by more than 50%. Unemployment in the U.S. rose to 25%, and in some countries rose as high as 33%. Cities all around the world were hit hard, especially those dependent on heavy industry. Construction was virtually halted in many countries. Farming and rural areas suffered as crop prices fell by approximately 60%. Facing plummeting demand with few alternate sources of jobs, areas dependent on primary sector industries such as cash cropping, mining and logging suffered the most.
Some economies started to recover by the mid-1930s; in many countries the negative effects of the Great Depression lasted until the start of World War II",great depress sever worldwid econom depress decad preced world war ii countri depress start last late earli longest widespread deepest depress centuri centuri great depress commonli use exampl far world economi declin depress origin econom historian usual attribut start great depress sudden devast collaps u stock market price octob known black tuesday disput conclus see stock crash symptom rather caus great depress multipl caus first downturn real caus still unclear historian emphas structur factor like major bank failur stock market crash contrast economist point monetari factor action u feder reserv contract money suppli well britain decis return gold standard war pariti great depress devast effect virtual everi countri rich poor person incom tax revenu profit price drop intern trade plung unemploy rose countri rose high citi around world hit hard especi depend heavi industri construct virtual halt mani countri farm rural area suffer crop price fell approxim face plummet demand altern sourc job area depend primari sector industri cash crop mine log suffer economi start recov mani countri neg effect great depress last start world war ii,C1
37,New year eve,"New Year's Eve, also called Old Year's Night, is celebrated on December 31st, the final day of the year. It is celebrated all over the world with parties and social gathering with usually a lot of fireworks and noise.
In the United States of America, New York is the place where this celebration is associated with. People gather in the Times Square just before midnight in the last minute of the countdown to see the ""ball dropping"".
The celebration is also associated with parties in other parts of the world. In France, for instance, the celebration is called le Réveillon. Special food is prepared accompanied with champagne. People also go to the Eiffel Tower in Paris to see fireworks display. In Japan, people traditionally clean their home. Buddhist temple bells are rung 108 times at midnight. In Brazil, the beach of Copacabana is considered by many to be the place of the most beautiful fireworks show in the world.
On New Year's Eve, people commit themselves with resolutions. These are made to reform a habit and should go into effect and remain until fulfillment.",new year eve also call old year night celebr decemb final day year celebr world parti social gather usual lot firework nois unit state america new york place celebr associ peopl gather time squar midnight last minut countdown see ball drop celebr also associ parti part world franc instanc celebr call le réveillon special food prepar accompani champagn peopl also go eiffel tower pari see firework display japan peopl tradit clean home buddhist templ bell rung time midnight brazil beach copacabana consid mani place beauti firework show world new year eve peopl commit resolut made reform habit go effect remain fulfil,B2
38,Short biography of marcus aurelius,"Marcus Aurelius was one of the most renowned emperors in Roman history, known for his intellectual interests and philosophical ideas. He was born into a well-to-do family with political clout. Marcus Aurelius was a devoted student who studied Latin and Greek as a child. But it was Stoicism, a philosophy that stressed fate, reason, and self-control, that piqued his intellectual curiosity. Marcus Aurelius was greatly influenced by Discourses, a book that was authored by Epictetus, a former slave and Stoic philosopher.
Marcus was born during the reign of Hadrian. He was raised by his mother and grandfather after the death of his father when he was three years old. Emperor Hadrian was impressed by Aurelius’ seriousness and diligence. Hadrian chose Titus Aurelius Antoninus who was later known as Emperor Pius Antonius, to succeed him as emperor when his first option for a successor died. Hadrian also arranged for Antoninus to adopt Marcus. While learning the ropes of government and public affairs, he worked alongside his adopted father.
Marcus Aurelius was elected consul, or senate leader, in 140, a position he would occupy twice more throughout his career. As time went on, he was given additional responsibilities and official powers, and he grew to be a valuable source of support and advice for Antoninus. Marcus Aurelius also pursued his philosophical education and became interested in law.
Marcus Aurelius appeared to have a happy personal life in addition to his growing political career. In 145, he married Faustina, the Emperor's daughter. They had several children together. Some of them did not survive long. Lucilla, their daughter, and Commodus, their son, are the most well-known members of the family.
Marcus Aurelius faced many challenges during his reign:
Marcus Aurelius is renowned for his contemplative character and rule based on reason, rather than on the battles he fought. Within his lifetime, he earned the label of philosopher king, which he would keep after his death. The Meditations is a book that contains a collection of his ideas. The work is packed with his observations about life, which are based on his Stoic ideas.",marcu aureliu one renown emperor roman histori known intellectu interest philosoph idea born famili polit clout marcu aureliu devot student studi latin greek child stoicism philosophi stress fate reason piqu intellectu curio marcu aureliu greatli influenc discours book author epictetu former slave stoic philosoph marcu born reign hadrian rais mother grandfath death father three year old emperor hadrian impress aureliu serious dilig hadrian chose titu aureliu antoninu later known emperor piu antoniu succeed emperor first option successor die hadrian also arrang antoninu adopt marcu learn rope govern public affair work alongsid adopt father marcu aureliu elect consul senat leader posit would occupi twice throughout career time went given addit respons offici power grew valuabl sourc support advic antoninu marcu aureliu also pursu philosoph educ becam interest law marcu aureliu appear happi person life addit grow polit career marri faustina emperor daughter sever child togeth surviv long lucilla daughter commodu son member famili marcu aureliu face mani challeng reign marcu aureliu renown contempl charact rule base reason rather battl fought within lifetim earn label philosoph king would keep death medit book contain collect idea work pack observ life base stoic idea,B2
39,Digital divide,"The term digital divide refers to the gap between those who have ready access to computers and the Internet, and those who do not. More precisely, it is an economic and social inequality with regard to access to, use of, or impact of information and communication technologies (ICT). This definition includes the skills to make use of ICT as an important element. Research shows that the digital divide is more than just an access issue and cannot be alleviated merely by providing the necessary equipment. More than just accessibility, individuals need to know how to make use of the information and communication tools once they exist within a community.
The digital divide may exist within the same country or between differing countries or regions of the world. In fact, within many countries including the industrialized ones, there are inequalities between individuals, households, businesses, or geographic areas, usually at different socioeconomic levels. For instance, the marginalized members of society, like the poor, rural, elderly, and handicapped portion of the population do not have access to computers or the internet. However, the wealthy, middle-class population and those living in urban areas are luckier to be digitally active members of society.
At the global level, the digital divide may refer to the divide between differing countries or regions of the world. This divide is also called global digital divide and it exists mainly between developing and developed countries on an international scale. In fact, developing countries are missing a historic opportunity to take a quantum leap forward to develop their own productive and creative capacities, and become integrated into the global virtual economy. It is believed that less developed nations could gain quick access to economic growth if the information infrastructure were to be developed and well used. By improving the latest technologies, certain countries and industries are able to gain a competitive advantage.
Finally, it is thought provoking to see that interaction between human and computers has greatly increased as we enter the twenty-first century. Digital literacy has become of paramount importance for people who want to to be part of the global society and economy.",term digit divid refer gap readi access comput internet precis econom social inequ regard access use impact inform commun technolog ict definit includ skill make use ict import element research show digit divid access issu allevi mere provid necessari equip access individu need know make use inform commun tool exist within commun digit divid may exist within countri differ countri region world fact within mani countri includ industri one inequ individu household busi geograph area usual differ socioeconom level instanc margin member societi like poor rural elderli handicap portion popul access comput internet howev wealthi popul live urban area luckier digit activ member societi global level digit divid may refer divid differ countri region world divid also call global digit divid exist mainli develop develop countri intern scale fact develop countri miss histor opportun take quantum leap forward develop product creativ capac becom integr global virtual economi believ le develop nation could gain quick access econom growth inform infrastructur develop well use improv latest technolog certain countri industri abl gain competit advantag final thought provok see interact human comput greatli increas enter centuri digit literaci becom paramount import peopl want part global societi economi,C2
40,Very short summary of animal farm by george orwell,"George Orwell's Animal Farm is a short novel written during World War II and published in 1945. It tells the story of a group of farm animals who revolt against their keeper. They want to create a place where all animals are treated equally and where they can be free and happy. However, they are eventually betrayed by one of them, and the farm returns to its previous state.
The narrative is an allegory, which means the author intended it to symbolize true events. It is one of the most well-known political allegories. It is based on the betrayal of the Russian Revolution by Joseph Stalin.
Mr. Jones, a harsh and drunken farmer, manages Manor Farm. The animals gather one day to hear Old Major, a wise old pig, speak. Old Major delivers a speech in which he urges animals to revolt against their farmers. The proposition enthralled the animals. A few days later, Old Major passes away. The most intelligent creatures of the farm, the pigs, begin plotting a revolt. Snowball and Napoleon are in charge.
The animals revolt against Mr. Jones and take over the farm three months later. The name of the farm is changed to ""Animal Farm."" They agree that the farm will now be run entirely by animals, a system they refer to as ""animalism."" They decide to run the farm according to seven commandments, the most important of which is ""All animals are equal."" The phrase ""four legs good, two legs bad"" becomes a popular sheep song. Mr. Jones and his friends attack the farm in an attempt to reclaim it, but the animals drive them away in the ""Battle of the Cowshed."" Mr. Jones flees. They never see him again.
Snowball and Napoleon had a falling out because they have opposing viewpoints on how Animal Farm should be run. Napoleon disagrees with Snowball's ideas to build a windmill. Napoleon trains nine puppies into ferocious dogs. They will be his servants and plans to employ them to chase Snowball off the land once they are fully grown. He eventually seizes control of the farm and runs it alone (as a dictator). While a pig named Squealer constantly persuades the animals that everything is OK and that they should support Napoleon. At the same time, Napoleon uses the dogs to kill any animal that does not agree with him.
Napoleon reconsiders his position and chooses to construct a windmill, claiming that it was his idea all along. The first windmill they built failed. Napoleon accuses Snowball of this (and other issues). Snowball, he claims, is snooping around Animal Farm and destroying everything. For ""being in contact with Snowball,"" many animals are murdered mercilessly. Napoleon begins working with humans outside, despite the fact that this was previously forbidden. One of them is their next-door neighbor, Mr. Frederick, a farmer. He sends a group of men to the farm. They destroy the second windmill. In the ""Battle of the Windmill,"" the animals fight them off at considerable cost.
Boxer, their strongest horse, loses his power due to old age and collapses as the animals were building the third windmill. Despite the fact that Boxer was faithful to Napoleon, he is sent to be killed. The pigs continue to cooperate with people and begin to adopt human characteristics, such as living in the farmhouse and walking on two legs. The sheep are taught a new chant: ""Four legs are good, two legs better."" ""All animals are equal, but some animals are more equal than others,"" replaces the previously set commandments. Eventually, some animals observe the pigs conversing with a group of people and conclude that they cannot identify which is which.
Animal Farm's fundamental message is that absolute power corrupts, in spite of being based on idealism and good intentions. The story's events are an analogy for the 1917 Russian Revolution, in which the bolsheviks removed the tsar and installed a communist dictatorship.
Despite being rejected by multiple publishers, the book went on to become a best-seller once it was published. Animal Farm is widely regarded as a classic and is one of Orwelll's two best-known books, the other being Nineteen Eighty-Four.",georg orwel anim farm short novel written world war ii publish tell stori group farm anim revolt keeper want creat place anim treat equal free happi howev eventu betray one farm return previou state narr allegori mean author intend symbol true event one polit allegori base betray russian revolut joseph stalin jone harsh drunken farmer manag manor farm anim gather one day hear old major wise old pig speak old major deliv speech urg anim revolt farmer proposit enthral anim day later old major pas away intellig creatur farm pig begin plot revolt snowbal napoleon charg anim revolt jone take farm three month later name farm chang anim farm agre farm run entir anim system refer anim decid run farm accord seven command import anim equal phrase four leg good two leg bad becom popular sheep song jone friend attack farm attempt reclaim anim drive away battl cowsh jone flee never see snowbal napoleon fall oppos viewpoint anim farm run napoleon disagre snowbal idea build windmil napoleon train nine puppi feroci dog servant plan employ chase snowbal land fulli grown eventu seiz control farm run alon dictat pig name squealer constantli persuad anim everyth ok support napoleon time napoleon use dog kill anim agre napoleon reconsid posit choos construct windmil claim idea along first windmil built fail napoleon accus snowbal issu snowbal claim snoop around anim farm destroy everyth contact snowbal mani anim murder mercilessli napoleon begin work human outsid despit fact previous forbidden one neighbor frederick farmer send group men farm destroy second windmil battl windmil anim fight consider cost boxer strongest hors lose power due old age collaps anim build third windmil despit fact boxer faith napoleon sent kill pig continu cooper peopl begin adopt human characterist live farmhous walk two leg sheep taught new chant four leg good two leg better anim equal anim equal other replac previous set command eventu anim observ pig convers group peopl conclud identifi anim farm fundament messag absolut power corrupt spite base ideal good intent stori event analog russian revolut bolshevik remov tsar instal communist dictatorship despit reject multipl publish book went becom publish anim farm wide regard classic one orwell two book nineteen,B2
41,Organizations united nations,"The United Nations was founded in 1945 after World War II to replace the League of Nations. It is an international organization whose stated aims are facilitating cooperation in international law, international security, economic development, social progress, human rights, and achievement of world peace. The philosophy behind its establishment is to stop wars between countries, and to provide a platform for dialogue. The members of the UN consist of 193 member states, including every internationally recognized sovereign state in the world but Vatican City. The UN is headed by a Secretary-General.
Some rominent UN System agencies include the World Health Organization (WHO), the World Food Programme (WFP) and United Nations Children's Fund (UNICEF).
The United Nations Headquarters resides in international territory in New York City, with further main offices at Geneva, Nairobi, and Vienna. The organization is financed from assessed and voluntary contributions from its member states, and has six official languages: Arabic, Chinese, English, French, Russian, and Spanish",unit nation found world war ii replac leagu nation intern organ whose state aim facilit cooper intern law intern secur econom develop social progress human right achiev world peac philosophi behind establish stop war countri provid platform dialogu member un consist member state includ everi intern recogn sovereign state world vatican citi un head romin un system agenc includ world health organ world food programm wfp unit nation child fund unicef unit nation headquart resid intern territori new york citi main offic geneva nairobi vienna organ financ ass voluntari contribut member state six offici languag arab chine english french russian spanish,C1
42,Filmmaking,"Filmmaking (often referred to in an academic context as film production) is the process of making a film. Filmmaking involves a number of discrete stages including an initial story, idea, or commission, through scriptwriting, casting, shooting, editing, and screening the finished product before an audience that may result in a film release and exhibition. Filmmaking takes place in many places around the world in a range of economic, social, and political contexts, and using a variety of technologies and cinematic techniques. Typically, it involves a large number of people, and can take from a few months to several years to complete.",filmmak often refer academ context film product process make film filmmak involv number discret stage includ initi stori idea commiss scriptwrit cast shoot edit screen finish product audienc may result film releas exhibit filmmak take place mani place around world rang econom social polit context use varieti technolog cinemat techniqu typic involv larg number peopl take month sever year complet,C1
43,Couscous,"Couscous is a North African dish of small steamed balls of semolina. It is a staple food throughout the North African cuisines of Morocco, Algeria, Tunisia, Mauritania and Libya and to a lesser extent in the Middle East and Trapani in Sicily. The original name of this dish may be derived from the arabic word Kaskasa or the Berber word Keskes, which refers to the cooking pot in which the dish is prepared.
The origin of couscous is uncertain. Historians differ about the dates of its appearance. Some affirm that Berbers were preparing couscous as early as 238 to 149 BC, describing primitive couscous pots found in tombs dating back to the reign of the Berber King Massinissa. Nevertheless, Charles Perry states that couscous originated between the end of the Zirid dynasty and the rise of the Almohadian dynasty in North Africa between the eleventh and the thirteenth centuries.
In the past women used to prepare the semolina themselves through a long process. The semolina used to be sprinkled with water and rolled with the hands to form small pellets. Today, the couscous that is sold in most supermarkets has been pre-steamed and dried.
Couscous is generally served with vegetables such as carrots, pumpkin, turnips, etc.. It is cooked in a spicy or mild broth or stew, and some meat, generally, chicken, lamb or mutton.",couscou north african dish small steam ball semolina stapl food throughout north african cuisin morocco algeria tunisia mauritania libya lesser extent middl east trapani sicili origin name dish may deriv arab word kaskasa berber word kesk refer cook pot dish prepar origin couscou uncertain historian differ date appear affirm berber prepar couscou earli bc describ primit couscou pot found tomb date back reign berber king massinissa nevertheless charl perri state couscou origin end zirid dynasti rise almohadian dynasti north africa eleventh thirteenth centuri past woman use prepar semolina long process semolina use sprinkl water roll hand form small pellet today couscou sold supermarket dri couscou gener serv veget carrot pumpkin turnip etc cook spici mild broth stew meat gener chicken lamb mutton,B2
44,Summer,"Summer is the warmest of the four temperate seasons which also include winter spring and autumn. It occurs between spring and autumn. It is known for the longest days and shortest nights. The seasons start on different dates in different cultures based on astronomy and regional meteorology. However, when it is summer in the southern hemisphere it is winter in the northern hemisphere, and vice versa. Summer is traditionally associated with hot dry weather, but this does not occur in all regions. For example, the wet season occurs during summer across many parts of the tropics and subtropics. Tropical cyclones develop and roam the tropical and subtropical oceans during the summer. In the interior of continents, thunderstorms are most likely to produce hail during the afternoon and evening. Schools and universities have a summer break to take advantage of the warmer weather and longer days.
People take advantage of the warmer temperatures by spending more time outdoors during the summer. Activities such as traveling to the beach and picnics occur during summer months. Sports such as cricket, volleyball, skateboarding, baseball, softball, soccer, tennis, water polo, and football are played. Water skiing is a uniquely summer sport, which is done when waters approach their warmest of the year.",summer warmest four temper season also includ winter spring autumn occur spring autumn known longest day shortest night season start differ date differ cultur base astronomi region meteorolog howev summer southern hemispher winter northern hemispher vice versa summer tradit associ hot dri weather occur region exampl wet season occur summer across mani part tropic subtrop tropic cyclon develop roam tropic subtrop ocean summer interior contin thunderstorm like produc hail afternoon even school univers summer break take advantag warmer weather longer day peopl take advantag warmer temperatur spend time outdoor summer activ travel beach picnic occur summer month sport cricket volleybal skateboard basebal softbal soccer tenni water polo footbal play water ski uniqu summer sport done water approach warmest year,B1
45,Organizations unicef,"UNICEF stands for United Nations International Children's Emergency Fund. It was created by the United Nations General Assembly on December 11, 1946, to provide emergency food and health care to children in countries that had been devastated by World War II.
In 1954, UNICEF became a permanent part of the United Nations System. UNICEF relies on contributions from governments and private donors. Governments contribute two thirds of the organization's resources; private groups and some 6 million individuals contribute the rest through the National Committees. Most of UNICEF's work is in the field, with staff in over 190 countries and territories. More than 200 country offices carry out UNICEF's mission through a program developed with host governments. Seven regional offices provide technical assistance to country offices as needed.
UNICEF's programs emphasize developing community-level services to promote the health and well-being of children. UNICEF was awarded the Nobel Peace Prize in 1965 and the Prince of Asturias Award of Concord in 2006.",unicef stand unit nation intern child emerg fund creat unit nation gener assembl decemb provid emerg food health care child countri devast world war ii unicef becam perman part unit nation system unicef reli contribut govern privat donor govern contribut two third organ resourc privat group million individu contribut rest nation committe unicef work field staff countri territori countri offic carri unicef mission program develop host govern seven region offic provid technic assist countri offic need unicef program emphas develop servic promot health child unicef award nobel peac prize princ asturia award concord,B2
46,Organizations world food programme,"The World Food Programme (WFP) is the food assistance branch of the United Nations, and the world's largest humanitarian organization addressing hunger worldwide. It was first established in 1961 after the 1960 Food and Agricultural Organization (FAO) Conference, when George McGovern, director of the US Food for Peace Programmes, proposed establishing a multilateral food aid programme. WFP was formally established in 1963 by the FAO and the United Nations General Assembly on a three-year experimental basis. In 1965, the programme was extended to a continuing basis.
WFP provides food, on average, to 90 million people per year, 58 million of whom are children. From its headquarters in Rome and more than 80 country offices around the world, WFP works to help people who are unable to produce or obtain enough food for themselves and their families. It is a member of the United Nations Development Group and part of its Executive Committee. The core strategies behind WFP activities, according to its mission statement, are to provide food aid to:",world food programm wfp food assist branch unit nation world largest humanitarian organ address hunger worldwid first establish food agricultur organ fao confer georg mcgovern director u food peac programm propos establish multilater food aid programm wfp formal establish fao unit nation gener assembl experiment basi programm extend continu basi wfp provid food averag million peopl per year million child headquart rome countri offic around world wfp work help peopl unabl produc obtain enough food famili member unit nation develop group part execut committe core strategi behind wfp activ accord mission statement provid food aid,C1
47,Edgar allan poe biography,"Edgar Allan Poe was born on January 19, 1809 in Boston, Massachusetts. He was an American author, poet, editor, and literary critic, considered part of the American Romantic Movement. Poe is famous for his tales of mystery and the macabre. He was one of the earliest American practitioners of the short story, and is generally considered the inventor of the detective fiction genre
Both Poe’s father and mother were professional actors. They died before the poet was three years old. John and Frances Allan raised him as a foster child in Richmond, Virginia. Poe attended the University of Virginia for one semester but left due to lack of money. Poe quarreled with Allan over the funds for his education and enlisted in the Army in 1827 under an assumed name. It was at this time his publishing career began, although humbly, with an anonymous collection of poems, Tamerlane and Other Poems (1827), credited only to ""a Bostonian"". With the death of Frances Allan in 1829, Poe and Allan reached a temporary rapprochement. Later failing as an officer's cadet at West Point and declaring a firm wish to be a poet and writer, Poe parted ways with John Allan.
After his early attempts at poetry, Poe had turned his attention to prose. He spent the next several years working for literary journals and periodicals, becoming known for his own style of literary criticism. His work forced him to move among several cities, including Baltimore, Philadelphia, and New York City. In Baltimore in 1835, he married Virginia Clemm, his 13-year-old cousin.
In January 1845 Poe published his poem, ""The Raven"", to instant success. His wife died of tuberculosis two years after its publication. For years, he had been planning to produce his own journal, The Penn (later renamed The Stylus), though he died before it could be produced. On October 7, 1849, at age 40, Poe died in Baltimore; the cause of his death is unknown and has been variously attributed to alcohol, brain congestion, cholera, drugs, heart disease, rabies, suicide, tuberculosis, and other agents.
Edgar Allan Poe and his works influenced literature in the United States and around the world, as well as in specialized fields. He is considered as one of the originators of both horror and detective fiction. He is also credited as the “architect” of the modern short story. As a critic he was one of the first writers to put emphasis on the effect of style and structure. He was thus a forerunner to the ""art for art's sake"" movement. Poe is particularly respected in France, in part due to early translations by Charles Baudelaire. Baudelaire's translations became definitive renditions of Poe's work throughout Europe.
Poe and his work appear throughout popular culture in literature, music, films, and television. A number of his homes are dedicated museums today. The Mystery Writers of America present an annual award known as the Edgar Award for distinguished work in the mystery genre.",edgar allan poe born januari boston massachusett american author poet editor literari critic consid part american romant movement poe famou tale mysteri macabr one earliest american practition short stori gener consid inventor detect fiction genr poe father mother profession actor die poet three year old john franc allan rais foster child richmond virginia poe attend univers virginia one semest left due lack money poe quarrel allan fund educ enlist armi assum name time publish career began although humbl anonym collect poem tamerlan poem credit bostonian death franc allan poe allan reach temporari rapproch later fail offic cadet west point declar firm wish poet writer poe part way john allan earli attempt poetri poe turn attent prose spent next sever year work literari journal period becom known style literari critic work forc move among sever citi includ baltimor philadelphia new york citi baltimor marri virginia clemm cousin januari poe publish poem raven instant success wife die tuberculosi two year public year plan produc journal penn later renam stylu though die could produc octob age poe die baltimor caus death unknown various attribut alcohol brain congest cholera drug heart diseas rabi suicid tuberculosi agent edgar allan poe work influenc literatur unit state around world well special field consid one origin horror detect fiction also credit architect modern short stori critic one first writer put emphasi effect style structur thu forerunn art art sake movement poe particularli respect franc part due earli translat charl baudelair baudelair translat becam definit rendit poe work throughout europ poe work appear throughout popular cultur literatur music film televis number home dedic museum today mysteri writer america present annual award known edgar award distinguish work mysteri genr,C1
48,Modern olympic games,"Originally, the ancient Olympic Games were held in Olympia, Greece, from the 8th century BC to the 4th century AD. However, Baron Pierre de Coubertin founded the International Olympic Committee (IOC) in 1894 and initiated the modern Olympic Games.
As the decision-making body, the IOC is responsible for choosing the host city for each Olympic Games. The host city is responsible for organizing and funding a celebration of the Games. The Olympic program, consisting of the sports to be contested at the Games, is also determined by the IOC. The celebration of the Games encompasses many rituals and symbols, such as the Olympic flag and torch, as well as the opening and closing ceremonies.
The evolution of the Olympic Movement during the 20th and 21st centuries has resulted in several changes to the Olympic Games. Some of these adjustments include the creation of the Winter Games for ice and winter sports, the Paralympic Games for athletes with a physical disability, and the Youth Olympic Games for teenage athletes. The IOC has had to adapt to the varying economic, political, and technological realities of the 20th century.
The Games have grown in scale to the point that nearly every nation is represented. Such growth has created numerous challenges, including boycotts, doping, bribery, and terrorism. At each event of the games, the Olympics and its media exposure provide unknown athletes with the chance to attain national, and in some cases, international fame. The Games also constitute a major opportunity for the host city and country to showcase themselves to the world.",origin ancient olymp game held olympia greec centuri bc centuri ad howev baron pierr de coubertin found intern olymp committe ioc initi modern olymp game bodi ioc respons choos host citi olymp game host citi respons organ fund celebr game olymp program consist sport contest game also determin ioc celebr game encompass mani ritual symbol olymp flag torch well open close ceremoni evolut olymp movement centuri result sever chang olymp game adjust includ creation winter game ice winter sport paralymp game athlet physic disabl youth olymp game teenag athlet ioc adapt vari econom polit technolog realiti centuri game grown scale point nearli everi nation repres growth creat numer challeng includ boycott dope briberi terror event game olymp medium exposur provid unknown athlet chanc attain nation case intern fame game also constitut major opportun host citi countri showcas world,B2
49,Dolphins,"Dolphins are marine mammals closely related to whales and porpoises. The name is originally from Greek (delphus), meaning womb. The animal's name can therefore be interpreted as meaning a fish with a womb. Along with whales and porpoises, dolphins are descendants of terrestrial mammals. There are almost forty species of dolphin and are found worldwide. They are carnivores, eating mostly fish and squid. Dolphins are members of the family Delphinidae which evolved relatively recently, about ten million years ago.
Doplhins' senses are very developed. Most dolphins have acute eyesight, both in and out of the water, and they can hear frequencies ten times or more above the upper limit of adult human hearing. Hearing is also used for echolocation, which all dolphins have. Dolphin teeth are believed to function as antennae to receive incoming sound and to pinpoint the exact location of an object. Beyond locating an object, echolocation also provides the animal with an idea on the object's shape and size, though how exactly this works is not yet understood. The dolphin's sense of touch is also well-developed, with free nerve endings densely packed in the skin, especially around the snout, pectoral fins and genital area. However, dolphins lack an olfactory nerve and lobes, and thus are believed to have no sense of smell. They do have a sense of taste and show preferences for certain kinds of fish.
Dolphins are capable of making a broad range of sounds using nasal airsacs located just below the blowhole. Individual dolphins communicate using a variety of clicks, whistle-like sounds and other vocalizations. The clicks are directional and are for echolocation, often occurring in a short series called a click train. The click rate increases when approaching an object of interest. Dolphin echolocation clicks are amongst the loudest sounds made by marine animals.",dolphin marin mammal close relat whale porpois name origin greek delphu mean womb anim name therefor interpret mean fish womb along whale porpois dolphin descend terrestri mammal almost forti speci dolphin found worldwid carnivor eat mostli fish squid dolphin member famili delphinida evolv rel recent ten million year ago doplhin sen develop dolphin acut eyesight water hear frequenc ten time upper limit adult human hear hear also use echoloc dolphin dolphin teeth believ function antenna receiv incom sound pinpoint exact locat object beyond locat object echoloc also provid anim idea object shape size though exactli work yet understood dolphin sen touch also free nerv end den pack skin especi around snout pector fin genit area howev dolphin lack olfactori nerv lobe thu believ sen smell sen tast show prefer certain kind fish dolphin capabl make broad rang sound use nasal airsac locat blowhol individu dolphin commun use varieti click sound vocal click direct echoloc often occur short seri call click train click rate increas approach object interest dolphin echoloc click amongst loudest sound made marin anim,B2
