Text,Activity
Write a letter to your past self. Tell him or her things you wish you had known then.,letterPrompts
Write a letter to your future self. Share your hopes and dreams or things you’d like to remember with him or her.,letterPrompts
Write a letter to one of your ancestors telling them what your family is like today.,letterPrompts
Write a letter to someone from the future telling him or her what life is like here in the early 21st,letterPrompts
Write a letter to someone your age who lives in another country. Describe your life and find out how his or hers differs.,letterPrompts
Write a letter to an anonymous stranger. Tell him or her anything you’d like to share.,letterPrompts
Write a descriptive letter that could convince someone why your stance on an issue is correct.,letterPrompts
Write a letter to your favorite celebrity and tell him or her what you love about his or her work.,letterPrompts
Write an encouraging letter to yourself to read when you are feeling sad.,letterPrompts
"Write a coded letter to a friend. Then, exchange letters and try to figure out what the other person wrote.",letterPrompts
Write an opinionated letter to your local newspaper about an issue that matters to you.,letterPrompts
Write a letter to someone you admire and tell the person what you appreciate about him or her.,letterPrompts
"Write a letter of commitment that you want to make to yourself. Then, plan when and how often you will re-read it.",letterPrompts
Write a letter to someone you haven’t seen in a long time and catch him or her up on your life.,letterPrompts
"Write a letter to someone you’re angry at and express all the things you’ve wanted to say—and then, destroy the letter!",letterPrompts
Write a letter to someone that you’d like to get to know better and introduce yourself.,letterPrompts
Write a letter to a school official and tell him or her one thing you’d like to see improved at our school.,letterPrompts
Write a letter in support of a charitable organization that you admire.,letterPrompts
"Write a letter to your favorite character from a book, movie, or TV show. Ask him or her all your questions or share your favorite parts of his or her story.",letterPrompts
Write a letter nominating someone you know for an award they deserve. Explain why he or she is deserving of the honor.,letterPrompts
Write a letter to someone you appreciate and let him or her know how he or she has made an impact on your life.,letterPrompts
